repl	time	Agent	SPVL	Status	tInf	s	tx	tx_d	tx_dA	Age	Pdrop	V	CD4	D1	D2	D3	D4	Met	Donor_Index	TransDR_status	AcqDR_status	mut_at_loc1	mut_at_loc2	mut_at_loc3	mut_at_loc4	mut_at_loc5	V00000	V00001	V00010	V00011	V00100	V00101	V00110	V00111	V01000	V01001	V01010	V01011	V01100	V01101	V01110	V01111	V10000	V10001	V10010	V10011	V10100	V10101	V10110	V10111	V11000	V11001	V11010	V11011	V11100	V11101	V11110	V11111

1	10	1	12039.707278	1	0.000000	0.140000	0	0	0	40.62	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	2.4e-005	2.7e-005	0.0e+000	9.1e+006	3.0e-007	2.2e-005	0.0e+000	1.5e-005	0.0e+000	0.0e+000	0.0e+000	2.1e-005	0.0e+000	0.0e+000	0.0e+000	2.8e-005	0.0e+000	0.0e+000	0.0e+000	2.4e-006	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	6	243315.061145	1	0.000000	0.140000	0	0	0	46.41	0.00	9.10e+006	2	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	1.7e-006	0.0e+000	0.0e+000	9.1e+006	2.2e-005	4.2e-005	0.0e+000	1.0e-007	0.0e+000	0.0e+000	0.0e+000	2.2e-005	0.0e+000	0.0e+000	0.0e+000	5.0e-007	0.0e+000	0.0e+000	0.0e+000	2.9e-005	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	7	1095.404124	1	0.000000	0.140000	0	0	0	34.32	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	3	0	0	0	0	0	1	0	0	1.1e-001	2.4e-005	2.2e-005	0.0e+000	9.1e+006	3.1e-006	2.0e-007	0.0e+000	2.2e-005	0.0e+000	0.0e+000	0.0e+000	3.0e-007	0.0e+000	0.0e+000	0.0e+000	2.3e-005	0.0e+000	0.0e+000	0.0e+000	2.2e-005	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	10	15165.400741	1	0.000000	0.140000	0	0	0	32.51	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	2.2e-005	4.0e-007	0.0e+000	9.1e+006	3.0e-007	0.0e+000	0.0e+000	9.3e-006	0.0e+000	0.0e+000	0.0e+000	5.0e-007	0.0e+000	0.0e+000	0.0e+000	7.2e-006	0.0e+000	0.0e+000	0.0e+000	2.1e-005	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	12	16699.329953	1	0.000000	0.140000	0	0	0	39.51	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	2	0	0	0	0	0	1	0	0	1.1e-001	1.0e-007	2.2e-005	0.0e+000	9.1e+006	1.0e-007	2.2e-005	0.0e+000	2.0e-006	0.0e+000	0.0e+000	0.0e+000	1.0e-007	0.0e+000	0.0e+000	0.0e+000	2.0e-006	0.0e+000	0.0e+000	0.0e+000	5.0e-007	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	16	13149.964330	1	0.000000	0.140000	0	0	0	19.68	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	2.5e-006	2.7e-005	0.0e+000	9.1e+006	2.0e-007	2.4e-005	0.0e+000	1.0e-005	0.0e+000	0.0e+000	0.0e+000	3.2e-005	0.0e+000	0.0e+000	0.0e+000	2.0e-007	0.0e+000	0.0e+000	0.0e+000	3.9e-005	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	17	3567.744593	1	0.000000	0.140000	0	0	0	16.40	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	2	0	0	0	0	0	1	0	0	1.1e-001	1.3e-005	1.5e-005	0.0e+000	9.1e+006	2.2e-005	0.0e+000	0.0e+000	3.1e-005	0.0e+000	0.0e+000	0.0e+000	1.0e-007	0.0e+000	0.0e+000	0.0e+000	6.8e-006	0.0e+000	0.0e+000	0.0e+000	3.4e-005	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	18	586.936443	1	0.000000	0.140000	0	0	0	59.98	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	1.5e-005	6.5e-006	0.0e+000	9.1e+006	4.3e-006	0.0e+000	0.0e+000	4.0e-007	0.0e+000	0.0e+000	0.0e+000	2.0e-007	0.0e+000	0.0e+000	0.0e+000	2.3e-005	0.0e+000	0.0e+000	0.0e+000	3.0e-007	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
1	10	20	21118.073257	1	0.000000	0.140000	0	0	0	63.90	0.00	9.10e+006	1	0.0	0.0	0.0	0.0	1	0	0	0	0	0	1	0	0	1.1e-001	4.0e-006	2.3e-005	0.0e+000	9.1e+006	4.0e-007	2.0e-007	0.0e+000	2.0e-006	0.0e+000	0.0e+000	0.0e+000	1.0e-007	0.0e+000	0.0e+000	0.0e+000	1.3e-006	0.0e+000	0.0e+000	0.0e+000	6.0e-007	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000	0.0e+000
