	time	Dur25	Dur25_30	Dur30
10	10.000000	10.000000	10.000000
20	20.000000	20.000000	20.000000
30	30.000000	30.000000	30.000000
40	40.000000	40.000000	40.000000
50	50.000000	50.000000	50.000000
60	60.000000	60.000000	60.000000
70	70.000000	70.000000	70.000000
80	80.000000	80.000000	80.000000
90	90.000000	90.000000	90.000000
100	100.000000	100.000000	100.000000
110	110.000000	110.000000	110.000000
120	120.000000	120.000000	120.000000
130	130.000000	130.000000	130.000000
140	140.000000	140.000000	131.354839
150	150.000000	150.000000	141.625000
160	160.000000	160.000000	151.625000
170	170.000000	170.000000	161.625000
180	180.000000	180.000000	171.625000
190	190.000000	190.000000	181.625000
200	200.000000	200.000000	191.625000
210	210.000000	210.000000	201.625000
220	220.000000	220.000000	211.625000
230	230.000000	230.000000	221.625000
240	240.000000	240.000000	231.625000
250	250.000000	250.000000	241.625000
260	260.000000	260.000000	251.625000
270	270.000000	270.000000	261.625000
280	280.000000	280.000000	271.625000
290	290.000000	290.000000	281.625000
300	300.000000	300.000000	291.625000
310	276.666667	210.000000	301.066667
320	286.666667	220.000000	311.066667
330	296.666667	230.000000	321.066667
340	306.666667	240.000000	331.066667
350	316.666667	250.000000	341.066667
360	326.666667	260.000000	351.066667
370	336.666667	270.000000	361.066667
380	346.666667	280.000000	346.133333
390	356.666667	290.000000	356.133333
400	366.666667	300.000000	366.133333
410	376.666667	310.000000	374.200000
420	386.666667	320.000000	384.200000
430	396.666667	330.000000	394.200000
440	406.666667	340.000000	404.200000
450	416.666667	350.000000	414.200000
460	426.666667	360.000000	424.200000
